song_title,song_id,artists,is_sexist,main_artist,artist_name,pct_songs_sexist_weighted,avg_sexist_prob
Tequila,56a139f2-0ace-4c5e-be27-4644f57e4897,Shiml,1,Shiml,Shiml,83.33333333333334,0.9915751963853836
Truemanshow,c098b423-48b9-4d7a-a1d2-c8a0c226965b,Shiml,1,Shiml,Shiml,83.33333333333334,0.9915751963853836
Weinender Clown,06953eae-c453-476d-a69d-7d7274b38200,Shiml,1,Shiml,Shiml,83.33333333333334,0.9915751963853836
Habibi,3dbdf108-55f4-49ac-bf1d-4b88fa884082,Kurdo,1,Kurdo,Kurdo,83.33333333333334,0.9907995536923409
Nike Kappe umgekehrt,611a2943-a37a-4ef3-ace0-42e98aecb763,Kurdo,1,Kurdo,Kurdo,83.33333333333334,0.9907995536923409
Rendezvous,f4712f64-f01f-48f7-8d8c-b2a1ea85426f,Kurdo,1,Kurdo,Kurdo,83.33333333333334,0.9907995536923409
Schwarz Matte Kalasch,684ed94c-b874-45db-b2c5-664bd43afea9,Kurdo,1,Kurdo,Kurdo,83.33333333333334,0.9907995536923409
Slumdog,81c24e32-6276-4cde-859b-7a697b57978f,Kurdo,1,Kurdo,Kurdo,83.33333333333334,0.9907995536923409
Vermiss dich,b04af4b1-32e8-415b-b737-9b9c6a0fdc65,Kurdo,1,Kurdo,Kurdo,83.33333333333334,0.9907995536923409
Wir sind nicht wie du,062a4181-9f50-442f-9562-318947e4bab6,Kurdo,1,Kurdo,Kurdo,83.33333333333334,0.9907995536923409
Ya Salam,0470ed12-d88b-4a1f-ad6a-4c93b21a89ad,Kurdo,1,Kurdo,Kurdo,83.33333333333334,0.9907995536923409
Decke voller Tränen,bfc4325c-20bb-4219-9940-7a2f327dcde2,Lityway & Yungfijay,1,Lityway & Yungfijay,Lityway & Yungfijay,83.33333333333334,0.9902150556445122
Ein Wort,f776e44c-5948-4a6e-8a9c-5a100560e231,Lityway & Yungfijay,1,Lityway & Yungfijay,Lityway & Yungfijay,83.33333333333334,0.9902150556445122
Für dich (Remix),cde82b99-33c0-4b94-8380-f89b2032e3ec,Lityway & Yungfijay,1,Lityway & Yungfijay,Lityway & Yungfijay,83.33333333333334,0.9902150556445122
GEISTERHAUS,2c44dbd8-b311-417c-9fa8-cb23e9d0a24d,Lityway & Yungfijay,1,Lityway & Yungfijay,Lityway & Yungfijay,83.33333333333334,0.9902150556445122
Letztes Liebeslied,67a7e200-c536-4766-9237-528bf6099310,Lityway & Yungfijay,1,Lityway & Yungfijay,Lityway & Yungfijay,83.33333333333334,0.9902150556445122
Mit dir gehts mir gut,0795ae07-e554-45bd-86a1-6a0d14d56a42,Lityway & Yungfijay,1,Lityway & Yungfijay,Lityway & Yungfijay,83.33333333333334,0.9902150556445122
Verliere mich,313d0899-5b73-4509-a6d6-0e3c21c023f4,Lityway & Yungfijay,1,Lityway & Yungfijay,Lityway & Yungfijay,83.33333333333334,0.9902150556445122
Welt Bereisen,25d098cd-ac0e-4968-bd1a-d98893fb20f5,Lityway & Yungfijay,1,Lityway & Yungfijay,Lityway & Yungfijay,83.33333333333334,0.9902150556445122
Alice im Wunderland,d83fe835-4da5-4026-a030-6418a6656877,Disarstar,1,Disarstar,Disarstar,83.33333333333334,0.9896719455718994
Bewegung,032ea6f2-b398-4259-81d9-1ecfc9e1cb17,Disarstar,1,Disarstar,Disarstar,83.33333333333334,0.9896719455718994
Großraumbüro,7d6d3ef6-6013-45cb-8e4b-ac6ba4a778c2,Disarstar,1,Disarstar,Disarstar,83.33333333333334,0.9896719455718994
Nachbarschaft,6ef038ee-be3f-42e5-ab01-a816620f0c33,Disarstar,1,Disarstar,Disarstar,83.33333333333334,0.9896719455718994
ROLEX FÜR ALLE,372b67ce-99ff-4cb3-aa53-89c52bab2812,Disarstar,1,Disarstar,Disarstar,83.33333333333334,0.9896719455718994
Siamo Tutti,f808fe26-ad15-4515-bb4f-e2e8716a25c3,Disarstar,1,Disarstar,Disarstar,83.33333333333334,0.9896719455718994
Trauma,e4190112-b1c9-4861-a2c2-b768be16d0eb,Disarstar,1,Disarstar,Disarstar,83.33333333333334,0.9896719455718994
Vergiss mein nicht,13e54d33-7a13-40b6-bd32-0482497d92ca,Disarstar,1,Disarstar,Disarstar,83.33333333333334,0.9896719455718994
44 Stiche,22eec023-4db3-4728-b158-5f61286c2ae9,Play69,1,Play69,Play69,83.33333333333334,0.9880772829055786
Champions League,ebba162f-d873-4c46-bb1c-f6064e2823df,Play69,1,Play69,Play69,83.33333333333334,0.9880772829055786
Gestern nix heute Star,0cbc204b-6552-4b4d-8144-550693afdf3b,Play69,1,Play69,Play69,83.33333333333334,0.9880772829055786
Ghetto Romantik III,2da8472b-ca64-4689-a9b9-545a44f08298,Play69,1,Play69,Play69,83.33333333333334,0.9880772829055786
Helal Money Gang,172ead28-ae03-4ea2-8a33-04d16d4752f5,Play69,1,Play69,Play69,83.33333333333334,0.9880772829055786
KUGELSICHERER JUGENDLICHER,5ae4823d-b7f5-487c-99be-9aa423922389,Play69,1,Play69,Play69,83.33333333333334,0.9880772829055786
Karma,fb488b18-de1e-4169-870b-8ebd8758c02b,Play69,1,Play69,Play69,83.33333333333334,0.9880772829055786
